"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AdminPromo.js", "JavaScript", 0, 175, 0, 0, 0, 0, 1, 30, 206
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AdminReportPage.js", "JavaScript", 0, 48, 0, 0, 0, 0, 2, 17, 67
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/AdmincourseReq.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 17, 91
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/CReviews.js", "JavaScript", 0, 72, 0, 0, 0, 0, 1, 17, 90
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/CorpTrainee.js", "JavaScript", 0, 215, 0, 0, 0, 0, 0, 61, 276
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/CorpTraineeLogin.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 14, 62
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/CorpViewregisteredcourses.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 3, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corpchangepassword.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 16, 107
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corpratecourse.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 15, 86
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corprateinst.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 16, 87
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corpregistercourse.js", "JavaScript", 0, 103, 0, 0, 0, 0, 1, 23, 127
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corpreviewcourse.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 21, 130
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/Corpreviewinst.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 21, 130
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/pages/CorpviewAllcourses.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 4, 61
